"","country","est_pop_cov_perc","year"
"1","Belgium",36,2020
"2","Bulgaria",45,2020
"3","Croatia",80,2020
"4","Cyprus",85,2020
"5","Czechia",80,2020
"6","Denmark",100,2020
"7","Estonia",100,2020
"8","Finland",96,2020
"9","France",48,2020
"10","Germany",27,2020
"11","Greece",60,2020
"12","Hungary",90,2020
"13","Iceland",100,2020
"14","Ireland",76,2020
"15","Italy",47,2020
"16","Latvia",90,2020
"17","Lithuania",100,2020
"18","Luxembourg",99,2020
"19","Malta",95,2020
"20","Netherlands",72,2020
"21","Norway",94,2020
"22","Poland",16,2020
"23","Portugal",97,2020
"24","Romania",21,2020
"25","Slovakia",56,2020
"26","Slovenia",99,2020
"27","Spain",36,2020
"28","Sweden",78,2020
"29","Belarus",99,2020
"30","Bosnia and Herzegovina",77,2020
"31","Georgia",80,2020
"32","Montenegro",100,2020
"33","North Macedonia",100,2020
"34","Republic of Moldova",70,2020
"35","Serbia",78,2020
"36","Switzerland",86,2020
"37","Turkey",28,2020
"38","Ukraine",1.96,2020
"39","Kosovo",90,2020
"40","Belgium",26,2019
"41","Bulgaria",45,2019
"42","Cyprus",35,2019
"43","Czechia",81,2019
"44","Denmark",100,2019
"45","Estonia",100,2019
"46","Finland",96,2019
"47","France",20,2019
"48","Germany",27,2019
"49","Hungary",90,2019
"50","Iceland",100,2019
"51","Ireland",96,2019
"52","Italy",41,2019
"53","Latvia",90,2019
"54","Lithuania",100,2019
"55","Malta",95,2019
"56","Netherlands",70,2019
"57","Norway",94,2019
"58","Poland",17,2019
"59","Portugal",97,2019
"60","Romania",11,2019
"61","Slovakia",56,2019
"62","Slovenia",99,2019
"63","Spain",32,2019
"64","Sweden",78,2019
"65","Belgium",30,2018
"66","Bulgaria",46,2018
"67","Croatia",80,2018
"68","Cyprus",85,2018
"69","Czechia",81,2018
"70","Denmark",100,2018
"71","Estonia",100,2018
"72","Finland",100,2018
"73","France",21,2018
"74","Germany",27,2018
"75","Greece",68,2018
"76","Hungary",90,2018
"77","Iceland",100,2018
"78","Ireland",100,2018
"79","Italy",36,2018
"80","Latvia",90,2018
"81","Lithuania",100,2018
"82","Luxembourg",100,2018
"83","Malta",95,2018
"84","Netherlands",65,2018
"85","Norway",94,2018
"86","Poland",17,2018
"87","Portugal",97,2018
"88","Romania",11,2018
"89","Slovakia",64,2018
"90","Slovenia",99,2018
"91","Spain",37,2018
"92","Sweden",51,2018
"93","Austria",90,2015
"94","Belgium",30.5714285714286,2015
"95","Bulgaria",29,2015
"96","Croatia",90,2015
"97","Cyprus",85,2015
"98","Czechia",85.7142857142857,2015
"99","Denmark",100,2015
"100","Estonia",100,2015
"101","Finland",97.8571428571429,2015
"102","France",25.0285714285714,2015
"103","Germany",25,2015
"104","Hungary",90,2015
"105","Iceland",100,2015
"106","Ireland",97,2015
"107","Italy",15,2015
"108","Latvia",90,2015
"109","Lithuania",90,2015
"110","Luxembourg",100,2015
"111","Malta",95,2015
"112","Netherlands",65,2015
"113","Norway",100,2015
"114","Poland",14,2015
"115","Portugal",95.0428571428571,2015
"116","Romania",15,2015
"117","Slovakia",75,2015
"118","Slovenia",98.9428571428571,2015
"119","Spain",31.05,2015
"120","Sweden",75,2015
"121","UK",15.2857142857143,2015
